ApsimVersion = 7.10 r4171
Title = 18_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999         40.000        178.131        890.653        272.853         17.800        600.000         98.626        16866.3          8.000
     08/10/2000         40.000         71.206        356.030       -261.770         17.800        600.000         55.259        10910.1          8.000
     17/10/2001         40.000         72.776        363.882       -253.918         17.800        600.000         49.469         9408.7          8.000
     16/10/2002         40.000        126.796        633.978         16.178         17.800        600.000         70.365        13267.1          8.000
     02/10/2003         40.000         91.827        459.134       -158.666         17.800        600.000         53.267        11969.3          8.000
     18/10/2004         40.000         73.550        367.751       -250.049         17.800        600.000         67.225        12457.7          8.000
     13/10/2005         40.000        103.331        516.657       -101.143         17.800        600.000         64.909        11535.0          8.000
     12/10/2006         40.000        149.530        747.650        129.850         17.800        600.000         92.377        15237.7          8.000
     21/10/2007         40.000         98.639        493.197       -124.603         17.800        600.000         67.720        12426.6          8.000
     29/10/2008         40.000        105.748        528.740        -89.060         17.800        600.000         65.115        11580.1          8.000
     11/10/2009         40.000         74.868        374.338       -243.462         17.800        600.000         76.422        15817.9          8.000
