ApsimVersion = 7.10 r4171
Title = 29_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     18/09/1999        120.000        183.962        919.808        266.408         53.400        600.000        124.421        17859.5          8.000
     23/09/2000        120.000        158.379        791.896        138.496         53.400        600.000         73.312        16599.8          8.000
     20/09/2001        120.000        135.952        679.760         26.360         53.400        600.000         69.217        14182.7          8.000
     12/09/2002        120.000        149.744        748.721         95.321         53.400        600.000         93.330        15060.0          8.000
     19/09/2003        120.000        167.016        835.081        181.681         53.400        600.000         99.826        17019.5          8.000
     03/10/2004        120.000        189.131        945.657        292.257         53.400        600.000         92.839        18851.7          8.000
     13/09/2005        120.000        167.760        838.798        185.398         53.400        600.000        103.638        16483.0          8.000
     15/09/2006        120.000        184.157        920.785        267.385         53.400        600.000        130.317        17581.7          8.000
     17/09/2007        120.000        172.415        862.073        208.673         53.400        600.000        113.143        16876.8          8.000
     28/09/2008        120.000        183.711        918.553        265.153         53.400        600.000        105.803        17905.6          8.000
     11/10/2009        120.000        197.875        989.376        335.976         53.400        600.000        109.672        19680.6          8.000
