ApsimVersion = 7.10 r4171
Title = 27_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999         80.000        184.489        922.443        286.843         35.600        600.000        125.218        18158.7          8.000
     08/10/2000         80.000        119.901        599.504        -36.096         35.600        600.000         69.721        14777.3          8.000
     17/10/2001         80.000        109.996        549.981        -85.619         35.600        600.000         61.079        12131.3          8.000
     16/10/2002         80.000        171.414        857.071        221.471         35.600        600.000         91.889        16603.2          8.000
     02/10/2003         80.000         93.985        469.925       -165.675         35.600        600.000         70.592        13449.8          8.000
     18/10/2004         80.000        121.945        609.724        -25.876         35.600        600.000         85.070        16818.1          8.000
     13/10/2005         80.000        146.867        734.336         98.736         35.600        600.000         82.282        15419.5          8.000
     12/10/2006         80.000        165.060        825.302        189.702         35.600        600.000        114.137        16856.0          8.000
     21/10/2007         80.000        145.424        727.121         91.521         35.600        600.000         96.735        16397.8          8.000
     29/10/2008         80.000        154.369        771.847        136.247         35.600        600.000         80.646        15843.7          8.000
     11/10/2009         80.000         94.977        474.884       -160.716         35.600        600.000         92.267        19261.3          8.000
