ApsimVersion = 7.10 r4171
Title = 7_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/09/1999          0.000         71.553        357.765       -242.235          0.000        600.000         48.489         9677.1          8.000
     27/09/2000          0.000          7.604         38.020       -561.980          0.000        600.000         34.224         6827.2          8.000
     23/09/2001          0.000          5.728         28.638       -571.362          0.000        600.000         33.016         5924.3          8.000
     20/09/2002          0.000         11.133         55.666       -544.334          0.000        600.000         33.159         6379.0          8.000
     27/09/2003          0.000          0.000          0.000       -600.000          0.000        600.000         30.627         5850.0          8.000
     11/10/2004          0.000          0.000          0.000       -600.000          0.000        600.000         30.892         6236.3          8.000
     20/09/2005          0.000         20.253        101.266       -498.734          0.000        600.000         34.322         6768.4          8.000
     26/09/2006          0.000          9.104         45.519       -554.481          0.000        600.000         33.951         6445.0          8.000
     20/09/2007          0.000         11.592         57.958       -542.042          0.000        600.000         33.503         6765.2          8.000
     08/10/2008          0.000          0.000          0.000       -600.000          0.000        600.000         31.602         5863.6          8.000
     11/10/2009          0.000          0.000          0.000       -600.000          0.000        600.000         33.296         6450.4          8.000
