ApsimVersion = 7.10 r4171
Title = 37_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     05/09/1999        160.000        206.171       1030.853        359.653         71.200        600.000        159.397        20385.6          8.000
     10/09/2000        160.000        194.512        972.560        301.360         71.200        600.000        110.447        18804.3          8.000
     05/09/2001        160.000        141.716        708.578         37.378         71.200        600.000        100.751        15008.6          8.000
     05/09/2002        160.000        188.300        941.498        270.298         71.200        600.000        139.202        17245.0          8.000
     09/09/2003        160.000        198.207        991.034        319.834         71.200        600.000        144.127        18630.6          8.000
     22/09/2004        160.000        204.970       1024.852        353.652         71.200        600.000        131.733        20593.3          8.000
     07/09/2005        160.000        196.518        982.592        311.392         71.200        600.000        139.133        18930.2          8.000
     06/09/2006        160.000        201.213       1006.066        334.866         71.200        600.000        163.499        20011.0          8.000
     04/09/2007        160.000        190.507        952.536        281.336         71.200        600.000        135.610        18484.3          8.000
     19/09/2008        160.000        198.142        990.711        319.511         71.200        600.000        128.758        19563.2          8.000
     24/09/2009        160.000        212.413       1062.064        390.864         71.200        600.000        145.540        22015.7          8.000
