ApsimVersion = 7.10 r4171
Title = 16_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/09/1999         40.000        123.648        618.242          0.442         17.800        600.000         71.847        15126.0          8.000
     27/09/2000         40.000         29.755        148.774       -469.026         17.800        600.000         39.403         8765.3          8.000
     23/09/2001         40.000         32.792        163.961       -453.839         17.800        600.000         41.821         8532.0          8.000
     20/09/2002         40.000         40.044        200.221       -417.579         17.800        600.000         40.762         8063.5          8.000
     27/09/2003         40.000         75.839        379.197       -238.603         17.800        600.000         46.431        10575.5          8.000
     11/10/2004         40.000         56.253        281.264       -336.536         17.800        600.000         49.691        10521.3          8.000
     20/09/2005         40.000         76.681        383.403       -234.397         17.800        600.000         54.103        10203.9          8.000
     26/09/2006         40.000        111.149        555.744        -62.056         17.800        600.000         74.139        13519.0          8.000
     20/09/2007         40.000         78.121        390.605       -227.195         17.800        600.000         56.124        11207.2          8.000
     08/10/2008         40.000         96.503        482.516       -135.284         17.800        600.000         61.927        11851.7          8.000
     11/10/2009         40.000        107.471        537.354        -80.446         17.800        600.000         64.633        13492.5          8.000
