ApsimVersion = 7.10 r4171
Title = 55_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     07/09/1999        240.000        211.909       1059.543        352.743        106.800        600.000        194.563        22321.3          8.000
     10/09/2000        240.000        209.116       1045.582        338.782        106.800        600.000        164.272        21980.6          8.000
     05/09/2001        240.000        182.355        911.775        204.975        106.800        600.000        152.986        18631.6          8.000
     05/09/2002        240.000        199.965        999.826        293.026        106.800        600.000        188.171        20460.0          8.000
     09/09/2003        240.000        202.470       1012.350        305.550        106.800        600.000        175.358        19057.3          8.000
     22/09/2004        240.000        208.567       1042.834        336.034        106.800        600.000        192.145        24295.7          8.000
     07/09/2005        240.000        212.863       1064.314        357.514        106.800        600.000        184.484        22640.1          8.000
     06/09/2006        240.000        206.215       1031.076        324.276        106.800        600.000        193.767        21102.2          8.000
     04/09/2007        240.000        206.412       1032.058        325.258        106.800        600.000        193.578        21998.2          8.000
     19/09/2008        240.000        208.548       1042.742        335.942        106.800        600.000        173.037        21773.6          8.000
     24/09/2009        240.000        214.699       1073.493        366.693        106.800        600.000        202.478        25462.3          8.000
