ApsimVersion = 7.10 r4171
Title = 35_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     12/10/1999        120.000        201.457       1007.284        353.884         53.400        600.000        170.640        22099.0          8.000
     08/10/2000        120.000        172.382        861.909        208.509         53.400        600.000         97.249        18476.1          8.000
     12/10/2001        120.000        148.779        743.894         90.494         53.400        600.000         93.072        15469.0          8.000
     30/09/2002        120.000        185.307        926.535        273.135         53.400        600.000        133.081        17798.0          8.000
     02/10/2003        120.000        148.596        742.980         89.580         53.400        600.000        112.508        16937.6          8.000
     18/10/2004        120.000        186.985        934.923        281.523         53.400        600.000        119.872        21127.2          8.000
     29/09/2005        120.000        191.636        958.180        304.780         53.400        600.000        126.063        18892.4          8.000
     05/10/2006        120.000        203.911       1019.555        366.155         53.400        600.000        158.778        20117.6          8.000
     02/10/2007        120.000        172.490        862.448        209.048         53.400        600.000        124.112        18140.4          8.000
     19/10/2008        120.000        190.458        952.291        298.891         53.400        600.000        113.481        19015.5          8.000
     11/10/2009        120.000        155.413        777.065        123.665         53.400        600.000        121.473        21236.0          8.000
