ApsimVersion = 7.10 r4171
Title = 51_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999        200.000        202.956       1014.782        325.782         89.000        600.000        196.290        22365.4          8.000
     08/10/2000        200.000        168.310        841.548        152.548         89.000        600.000        120.414        18903.8          8.000
     17/10/2001        200.000        183.040        915.199        226.199         89.000        600.000        127.931        17778.2          8.000
     06/10/2002        200.000        201.247       1006.235        317.235         89.000        600.000        172.448        20656.0          8.000
     02/10/2003        200.000        118.781        593.907        -95.093         89.000        600.000        130.805        14969.8          8.000
     18/10/2004        200.000        157.397        786.985         97.985         89.000        600.000        177.753        23096.4          8.000
     05/10/2005        200.000        204.274       1021.370        332.370         89.000        600.000        147.124        20160.6          8.000
     12/10/2006        200.000        188.510        942.552        253.552         89.000        600.000        193.608        21779.8          8.000
     09/10/2007        200.000        200.145       1000.727        311.727         89.000        600.000        173.245        21310.2          8.000
     29/10/2008        200.000        201.508       1007.542        318.542         89.000        600.000        154.950        19806.7          8.000
     11/10/2009        200.000        115.085        575.425       -113.575         89.000        600.000        174.156        21073.4          8.000
