ApsimVersion = 7.10 r4171
Title = 72_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999        280.000        179.534        897.669        173.069        124.600        600.000        211.263        22034.0          8.000
     08/10/2000        280.000        153.000        765.001         40.401        124.600        600.000        169.248        21049.8          8.000
     17/10/2001        280.000        165.962        829.809        105.209        124.600        600.000        182.444        20808.2          8.000
     16/10/2002        280.000        201.642       1008.208        283.608        124.600        600.000        202.058        22614.6          8.000
     02/10/2003        280.000        118.898        594.488       -130.112        124.600        600.000        148.838        15125.5          8.000
     18/10/2004        280.000        140.646        703.230        -21.370        124.600        600.000        217.104        22846.1          8.000
     13/10/2005        280.000        207.566       1037.829        313.229        124.600        600.000        204.617        23246.7          8.000
     12/10/2006        280.000        169.389        846.943        122.343        124.600        600.000        215.476        21789.9          8.000
     21/10/2007        280.000        194.442        972.212        247.612        124.600        600.000        204.218        22441.3          8.000
     29/10/2008        280.000        186.027        930.134        205.534        124.600        600.000        201.201        22306.9          8.000
     11/10/2009        280.000        100.037        500.185       -224.415        124.600        600.000        208.001        21508.6          8.000
