ApsimVersion = 7.10 r4171
Title = 26_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     12/10/1999         80.000        200.054       1000.269        364.669         35.600        600.000        148.094        20115.5          8.000
     08/10/2000         80.000        157.707        788.533        152.933         35.600        600.000         86.499        17452.8          8.000
     12/10/2001         80.000        134.411        672.056         36.456         35.600        600.000         76.613        14492.7          8.000
     30/09/2002         80.000        168.450        842.252        206.652         35.600        600.000        103.808        16698.5          8.000
     02/10/2003         80.000        142.730        713.650         78.050         35.600        600.000         89.588        16510.0          8.000
     18/10/2004         80.000        170.807        854.037        218.437         35.600        600.000         95.587        18487.8          8.000
     29/09/2005         80.000        179.841        899.204        263.604         35.600        600.000        107.201        18064.0          8.000
     05/10/2006         80.000        182.646        913.230        277.630         35.600        600.000        130.900        18289.1          8.000
     02/10/2007         80.000        153.757        768.787        133.187         35.600        600.000         99.374        16948.8          8.000
     19/10/2008         80.000        166.410        832.048        196.448         35.600        600.000         92.071        17111.8          8.000
     11/10/2009         80.000        152.498        762.488        126.888         35.600        600.000         99.429        20133.7          8.000
