ApsimVersion = 7.10 r4171
Title = 31_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     14/09/1999        120.000        189.466        947.329        293.929         53.400        600.000        140.848        19348.1          8.000
     18/09/2000        120.000        191.032        955.158        301.758         53.400        600.000         89.830        19074.4          8.000
     14/09/2001        120.000        134.899        674.495         21.095         53.400        600.000         78.494        15073.9          8.000
     13/09/2002        120.000        152.835        764.176        110.776         53.400        600.000        109.652        16110.8          8.000
     18/09/2003        120.000        180.358        901.790        248.390         53.400        600.000        110.870        18433.8          8.000
     30/09/2004        120.000        196.490        982.448        329.048         53.400        600.000         98.479        20214.4          8.000
     13/09/2005        120.000        173.673        868.363        214.963         53.400        600.000        113.722        17981.9          8.000
     17/09/2006        120.000        185.854        929.271        275.871         53.400        600.000        139.204        18639.2          8.000
     10/09/2007        120.000        172.998        864.988        211.588         53.400        600.000        117.562        17864.4          8.000
     28/09/2008        120.000        186.352        931.760        278.360         53.400        600.000        110.948        18931.6          8.000
     11/10/2009        120.000        203.381       1016.906        363.506         53.400        600.000        116.841        21165.1          8.000
