ApsimVersion = 7.10 r4171
Title = 55_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     05/09/1999        240.000        209.689       1048.446        341.646        106.800        600.000        185.156        22314.1          8.000
     10/09/2000        240.000        208.151       1040.756        333.956        106.800        600.000        139.427        20348.4          8.000
     05/09/2001        240.000        172.535        862.675        155.875        106.800        600.000        130.846        17162.1          8.000
     05/09/2002        240.000        202.554       1012.772        305.972        106.800        600.000        172.016        20124.0          8.000
     09/09/2003        240.000        203.329       1016.647        309.847        106.800        600.000        167.682        19197.9          8.000
     22/09/2004        240.000        207.469       1037.345        330.545        106.800        600.000        182.445        23871.1          8.000
     07/09/2005        240.000        212.682       1063.412        356.612        106.800        600.000        172.764        21972.2          8.000
     06/09/2006        240.000        205.410       1027.052        320.252        106.800        600.000        183.806        20969.5          8.000
     04/09/2007        240.000        208.877       1044.384        337.584        106.800        600.000        186.153        22121.7          8.000
     19/09/2008        240.000        204.605       1023.026        316.226        106.800        600.000        163.376        21583.7          8.000
     24/09/2009        240.000        214.121       1070.605        363.805        106.800        600.000        189.968        25546.6          8.000
