ApsimVersion = 7.10 r4171
Title = 67_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     14/09/1999        280.000        213.081       1065.403        340.803        124.600        600.000        203.913        23570.9          8.000
     18/09/2000        280.000        216.107       1080.534        355.934        124.600        600.000        166.727        22935.6          8.000
     14/09/2001        280.000        178.802        894.012        169.412        124.600        600.000        154.776        19816.5          8.000
     13/09/2002        280.000        201.507       1007.533        282.933        124.600        600.000        189.916        21394.2          8.000
     18/09/2003        280.000        198.622        993.108        268.508        124.600        600.000        179.086        19564.8          8.000
     02/10/2004        280.000        213.068       1065.342        340.742        124.600        600.000        205.393        26487.1          8.000
     13/09/2005        280.000        216.425       1082.123        357.523        124.600        600.000        191.891        23436.2          8.000
     17/09/2006        280.000        212.475       1062.373        337.773        124.600        600.000        210.152        23216.0          8.000
     10/09/2007        280.000        202.439       1012.194        287.594        124.600        600.000        205.356        23086.3          8.000
     28/09/2008        280.000        210.460       1052.300        327.700        124.600        600.000        176.284        22366.1          8.000
     11/10/2009        280.000        207.945       1039.723        315.123        124.600        600.000        212.833        25997.5          8.000
