ApsimVersion = 7.10 r4171
Title = 24_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999         80.000        199.849        999.244        363.644         35.600        600.000        155.593        20091.6          8.000
     08/10/2000         80.000        149.106        745.532        109.932         35.600        600.000         87.529        16914.6          8.000
     17/10/2001         80.000        144.432        722.162         86.562         35.600        600.000         79.798        14414.7          8.000
     06/10/2002         80.000        177.600        888.002        252.402         35.600        600.000        112.671        16674.3          8.000
     02/10/2003         80.000        105.588        527.939       -107.661         35.600        600.000         84.533        14128.4          8.000
     18/10/2004         80.000        151.813        759.066        123.466         35.600        600.000        103.433        18826.9          8.000
     05/10/2005         80.000        174.679        873.395        237.795         35.600        600.000         98.593        17236.4          8.000
     12/10/2006         80.000        185.330        926.651        291.051         35.600        600.000        137.940        18299.3          8.000
     09/10/2007         80.000        152.942        764.712        129.112         35.600        600.000        105.221        16420.4          8.000
     29/10/2008         80.000        174.963        874.814        239.214         35.600        600.000         95.980        17063.9          8.000
     11/10/2009         80.000        113.107        565.535        -70.065         35.600        600.000        104.178        19809.8          8.000
