ApsimVersion = 7.10 r4171
Title = 54_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999        200.000        186.274        931.371        242.371         89.000        600.000        177.075        21047.7          8.000
     08/10/2000        200.000        153.651        768.253         79.253         89.000        600.000        108.317        18569.4          8.000
     17/10/2001        200.000        165.640        828.201        139.201         89.000        600.000        106.960        17102.9          8.000
     16/10/2002        200.000        201.297       1006.484        317.484         89.000        600.000        153.271        20448.3          8.000
     02/10/2003        200.000        120.107        600.533        -88.467         89.000        600.000        126.564        15209.6          8.000
     18/10/2004        200.000        140.515        702.573         13.573         89.000        600.000        163.228        22601.0          8.000
     13/10/2005        200.000        198.900        994.500        305.500         89.000        600.000        136.532        19428.7          8.000
     12/10/2006        200.000        169.257        846.283        157.283         89.000        600.000        187.166        21419.6          8.000
     21/10/2007        200.000        192.155        960.773        271.773         89.000        600.000        159.873        20112.6          8.000
     29/10/2008        200.000        186.473        932.366        243.366         89.000        600.000        153.054        20373.1          8.000
     11/10/2009        200.000        100.118        500.588       -188.412         89.000        600.000        163.956        21367.3          8.000
