ApsimVersion = 7.10 r4171
Title = 48_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     10/10/1999        200.000        195.906        979.530        290.530         89.000        600.000        177.259        21397.2          8.000
     08/10/2000        200.000        182.434        912.170        223.170         89.000        600.000        114.428        18072.9          8.000
     10/10/2001        200.000        171.862        859.310        170.310         89.000        600.000        114.095        16032.7          8.000
     26/09/2002        200.000        198.873        994.365        305.365         89.000        600.000        160.511        19544.2          8.000
     02/10/2003        200.000        150.737        753.684         64.684         89.000        600.000        128.300        15628.1          8.000
     18/10/2004        200.000        192.930        964.652        275.652         89.000        600.000        168.960        23036.4          8.000
     23/09/2005        200.000        206.736       1033.681        344.681         89.000        600.000        144.178        18703.4          8.000
     06/10/2006        200.000        203.781       1018.903        329.903         89.000        600.000        183.649        20917.9          8.000
     02/10/2007        200.000        195.987        979.935        290.935         89.000        600.000        168.426        20687.8          8.000
     13/10/2008        200.000        204.547       1022.735        333.735         89.000        600.000        143.879        19340.4          8.000
     11/10/2009        200.000        152.001        760.004         71.004         89.000        600.000        160.638        20659.5          8.000
