ApsimVersion = 7.10 r4171
Title = 30_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     10/10/1999        120.000        195.318        976.591        323.191         53.400        600.000        153.303        20165.3          8.000
     08/10/2000        120.000        162.462        812.311        158.911         53.400        600.000         87.611        16808.3          8.000
     10/10/2001        120.000        144.884        724.422         71.022         53.400        600.000         83.240        14266.4          8.000
     26/09/2002        120.000        181.892        909.460        256.060         53.400        600.000        123.154        16691.5          8.000
     02/10/2003        120.000        128.530        642.652        -10.748         53.400        600.000        102.605        14414.6          8.000
     18/10/2004        120.000        191.004        955.020        301.620         53.400        600.000        121.302        19451.8          8.000
     23/09/2005        120.000        185.971        929.854        276.454         53.400        600.000        117.397        16885.1          8.000
     06/10/2006        120.000        200.839       1004.194        350.794         53.400        600.000        154.403        19109.0          8.000
     02/10/2007        120.000        169.418        847.090        193.690         53.400        600.000        119.438        16887.8          8.000
     13/10/2008        120.000        187.199        935.997        282.597         53.400        600.000        107.503        17331.3          8.000
     11/10/2009        120.000        150.832        754.160        100.760         53.400        600.000        120.800        19490.0          8.000
