ApsimVersion = 7.10 r4171
Title = 65_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     18/09/1999        280.000        210.494       1052.471        327.871        124.600        600.000        200.843        22876.5          8.000
     23/09/2000        280.000        214.286       1071.431        346.831        124.600        600.000        156.586        21270.2          8.000
     20/09/2001        280.000        180.455        902.274        177.674        124.600        600.000        154.200        19060.1          8.000
     12/09/2002        280.000        206.745       1033.723        309.123        124.600        600.000        192.282        20463.4          8.000
     19/09/2003        280.000        188.696        943.478        218.878        124.600        600.000        176.160        18317.1          8.000
     03/10/2004        280.000        210.148       1050.741        326.141        124.600        600.000        211.201        25506.6          8.000
     13/09/2005        280.000        210.372       1051.862        327.262        124.600        600.000        192.514        22193.8          8.000
     15/09/2006        280.000        202.992       1014.958        290.358        124.600        600.000        197.083        21106.6          8.000
     17/09/2007        280.000        205.830       1029.150        304.550        124.600        600.000        194.602        21855.6          8.000
     28/09/2008        280.000        207.160       1035.802        311.202        124.600        600.000        184.048        22201.0          8.000
     11/10/2009        280.000        204.398       1021.990        297.390        124.600        600.000        197.734        23740.6          8.000
