ApsimVersion = 7.10 r4171
Title = 6_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999          0.000        154.243        771.217        171.217          0.000        600.000         77.265        14700.9          8.000
     08/10/2000          0.000         55.874        279.369       -320.631          0.000        600.000         48.334         9418.4          8.000
     17/10/2001          0.000         52.670        263.348       -336.652          0.000        600.000         41.623         7876.8          8.000
     06/10/2002          0.000         83.854        419.271       -180.729          0.000        600.000         48.764         9300.0          8.000
     02/10/2003          0.000         69.615        348.077       -251.923          0.000        600.000         43.289         8789.1          8.000
     18/10/2004          0.000         32.748        163.738       -436.262          0.000        600.000         47.565         8803.2          8.000
     05/10/2005          0.000         63.199        315.997       -284.003          0.000        600.000         45.069         8165.6          8.000
     12/10/2006          0.000        104.717        523.584        -76.416          0.000        600.000         64.989        10612.8          8.000
     09/10/2007          0.000         74.018        370.089       -229.911          0.000        600.000         51.043         9259.9          8.000
     29/10/2008          0.000         62.182        310.912       -289.088          0.000        600.000         51.508         7919.8          8.000
     11/10/2009          0.000         49.974        249.869       -350.131          0.000        600.000         57.867        11403.9          8.000
