ApsimVersion = 7.10 r4171
Title = 64_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     05/09/1999        280.000        210.023       1050.115        325.515        124.600        600.000        195.637        22618.3          8.000
     10/09/2000        280.000        209.232       1046.162        321.562        124.600        600.000        166.284        22145.9          8.000
     05/09/2001        280.000        182.874        914.372        189.772        124.600        600.000        156.450        18995.0          8.000
     05/09/2002        280.000        201.105       1005.526        280.926        124.600        600.000        189.981        20570.4          8.000
     09/09/2003        280.000        199.867        999.337        274.737        124.600        600.000        187.405        18778.3          8.000
     22/09/2004        280.000        209.265       1046.327        321.727        124.600        600.000        199.690        24823.9          8.000
     07/09/2005        280.000        213.182       1065.911        341.311        124.600        600.000        197.385        23176.4          8.000
     06/09/2006        280.000        206.908       1034.542        309.942        124.600        600.000        198.605        21471.3          8.000
     04/09/2007        280.000        202.911       1014.555        289.955        124.600        600.000        195.470        21800.3          8.000
     19/09/2008        280.000        209.287       1046.433        321.833        124.600        600.000        178.621        21753.6          8.000
     24/09/2009        280.000        215.718       1078.590        353.990        124.600        600.000        220.637        25670.8          8.000
