ApsimVersion = 7.10 r4171
Title = 51_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999        200.000        201.499       1007.494        318.494         89.000        600.000        203.007        22349.5          8.000
     08/10/2000        200.000        167.856        839.280        150.280         89.000        600.000        132.528        19461.4          8.000
     17/10/2001        200.000        184.300        921.501        232.501         89.000        600.000        148.852        18884.0          8.000
     06/10/2002        200.000        202.406       1012.029        323.029         89.000        600.000        176.769        20950.6          8.000
     02/10/2003        200.000        119.381        596.904        -92.096         89.000        600.000        130.126        14997.4          8.000
     18/10/2004        200.000        157.397        786.985         97.985         89.000        600.000        184.906        23133.8          8.000
     05/10/2005        200.000        203.730       1018.648        329.648         89.000        600.000        154.701        20496.0          8.000
     12/10/2006        200.000        187.911        939.555        250.555         89.000        600.000        202.741        21930.0          8.000
     09/10/2007        200.000        199.937        999.685        310.685         89.000        600.000        177.856        21520.0          8.000
     29/10/2008        200.000        201.593       1007.964        318.964         89.000        600.000        164.628        20642.4          8.000
     11/10/2009        200.000        115.244        576.221       -112.779         89.000        600.000        172.706        21284.0          8.000
