ApsimVersion = 7.10 r4171
Title = 69_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999        280.000        203.119       1015.595        290.995        124.600        600.000        208.909        22678.5          8.000
     08/10/2000        280.000        168.021        840.106        115.506        124.600        600.000        157.521        21046.5          8.000
     17/10/2001        280.000        185.715        928.575        203.975        124.600        600.000        166.720        20242.4          8.000
     06/10/2002        280.000        203.576       1017.881        293.281        124.600        600.000        196.524        21640.6          8.000
     02/10/2003        280.000        115.873        579.367       -145.233        124.600        600.000        149.065        14793.5          8.000
     18/10/2004        280.000        157.426        787.132         62.532        124.600        600.000        214.483        23161.8          8.000
     05/10/2005        280.000        204.134       1020.671        296.071        124.600        600.000        198.294        23031.7          8.000
     12/10/2006        280.000        188.542        942.711        218.111        124.600        600.000        213.914        22254.9          8.000
     09/10/2007        280.000        200.640       1003.199        278.599        124.600        600.000        201.027        22404.3          8.000
     29/10/2008        280.000        201.649       1008.243        283.643        124.600        600.000        189.198        21840.9          8.000
     11/10/2009        280.000        115.240        576.202       -148.398        124.600        600.000        201.695        21405.6          8.000
