ApsimVersion = 7.10 r4171
Title = 5_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     29/09/1999          0.000        118.901        594.503         -5.497          0.000        600.000         67.403        13288.7          8.000
     05/10/2000          0.000         66.952        334.761       -265.239          0.000        600.000         44.345         8838.3          8.000
     02/10/2001          0.000         51.379        256.897       -343.103          0.000        600.000         43.519         7911.2          8.000
     22/09/2002          0.000         67.831        339.153       -260.847          0.000        600.000         44.971         8247.9          8.000
     02/10/2003          0.000         77.331        386.657       -213.343          0.000        600.000         44.257         9463.3          8.000
     18/10/2004          0.000         38.747        193.735       -406.265          0.000        600.000         41.581         8447.4          8.000
     22/09/2005          0.000         72.337        361.687       -238.313          0.000        600.000         45.557         8632.5          8.000
     27/09/2006          0.000         81.608        408.041       -191.959          0.000        600.000         55.136         9597.0          8.000
     26/09/2007          0.000         70.045        350.226       -249.774          0.000        600.000         47.956         8497.8          8.000
     09/10/2008          0.000         72.799        363.994       -236.006          0.000        600.000         52.711         8452.1          8.000
     11/10/2009          0.000         79.726        398.629       -201.371          0.000        600.000         55.256        10569.3          8.000
