ApsimVersion = 7.10 r4171
Title = 70_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/09/1999        280.000        213.420       1067.099        342.499        124.600        600.000        210.014        24566.6          8.000
     25/09/2000        280.000        218.189       1090.945        366.345        124.600        600.000        163.716        22884.4          8.000
     22/09/2001        280.000        179.059        895.296        170.696        124.600        600.000        154.677        19880.1          8.000
     20/09/2002        280.000        198.103        990.517        265.917        124.600        600.000        195.681        21595.2          8.000
     25/09/2003        280.000        203.653       1018.265        293.665        124.600        600.000        177.819        20193.8          8.000
     12/10/2004        280.000        211.513       1057.563        332.963        124.600        600.000        203.690        27165.1          8.000
     19/09/2005        280.000        215.720       1078.600        354.000        124.600        600.000        191.325        23457.0          8.000
     26/09/2006        280.000        208.379       1041.897        317.297        124.600        600.000        209.118        23562.8          8.000
     19/09/2007        280.000        201.732       1008.661        284.061        124.600        600.000        210.500        24695.4          8.000
     08/10/2008        280.000        208.281       1041.403        316.803        124.600        600.000        176.634        23062.4          8.000
     11/10/2009        280.000        195.926        979.630        255.030        124.600        600.000        203.914        25452.7          8.000
