ApsimVersion = 7.10 r4171
Title = 43_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/09/1999        160.000        196.325        981.627        310.427         71.200        600.000        144.689        19907.6          8.000
     25/09/2000        160.000        192.794        963.971        292.771         71.200        600.000         93.152        19556.5          8.000
     22/09/2001        160.000        146.284        731.420         60.220         71.200        600.000         86.038        16021.6          8.000
     20/09/2002        160.000        163.137        815.684        144.484         71.200        600.000        112.443        17120.2          8.000
     25/09/2003        160.000        183.291        916.453        245.253         71.200        600.000        119.124        19022.2          8.000
     11/10/2004        160.000        206.817       1034.087        362.887         71.200        600.000        112.674        21008.2          8.000
     19/09/2005        160.000        186.213        931.063        259.863         71.200        600.000        127.861        18984.7          8.000
     26/09/2006        160.000        199.155        995.777        324.577         71.200        600.000        155.046        20088.0          8.000
     19/09/2007        160.000        190.910        954.548        283.348         71.200        600.000        133.747        19582.2          8.000
     08/10/2008        160.000        194.622        973.108        301.908         71.200        600.000        124.213        20152.6          8.000
     11/10/2009        160.000        194.984        974.922        303.722         71.200        600.000        129.086        22325.9          8.000
