ApsimVersion = 7.10 r4171
Title = 11_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     18/09/1999         40.000        156.536        782.679        164.879         17.800        600.000         96.133        16095.2          8.000
     23/09/2000         40.000         97.302        486.509       -131.291         17.800        600.000         53.041        11796.9          8.000
     20/09/2001         40.000         81.421        407.105       -210.695         17.800        600.000         52.917        10043.3          8.000
     12/09/2002         40.000        116.366        581.829        -35.971         17.800        600.000         67.404        12765.2          8.000
     19/09/2003         40.000        131.252        656.262         38.462         17.800        600.000         60.487        14295.4          8.000
     03/10/2004         40.000        110.409        552.047        -65.753         17.800        600.000         60.081        12529.8          8.000
     13/09/2005         40.000        119.818        599.091        -18.709         17.800        600.000         71.180        12852.9          8.000
     15/09/2006         40.000        142.587        712.937         95.137         17.800        600.000         85.899        14813.6          8.000
     17/09/2007         40.000        109.667        548.334        -69.466         17.800        600.000         65.966        12483.0          8.000
     28/09/2008         40.000        121.097        605.487        -12.313         17.800        600.000         68.941        12679.7          8.000
     11/10/2009         40.000        150.253        751.264        133.464         17.800        600.000         75.783        16114.4          8.000
