ApsimVersion = 7.10 r4171
Title = 37_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     07/09/1999        160.000        210.592       1052.961        381.761         71.200        600.000        177.562        21669.0          8.000
     10/09/2000        160.000        201.641       1008.204        337.004         71.200        600.000        124.458        19398.7          8.000
     05/09/2001        160.000        160.377        801.884        130.684         71.200        600.000        120.410        16177.6          8.000
     05/09/2002        160.000        196.926        984.631        313.431         71.200        600.000        165.175        19515.3          8.000
     09/09/2003        160.000        202.309       1011.543        340.343         71.200        600.000        143.992        19039.6          8.000
     22/09/2004        160.000        204.165       1020.827        349.627         71.200        600.000        138.150        20861.2          8.000
     07/09/2005        160.000        207.556       1037.780        366.580         71.200        600.000        153.007        19874.3          8.000
     06/09/2006        160.000        202.735       1013.677        342.477         71.200        600.000        173.514        20429.7          8.000
     04/09/2007        160.000        199.810        999.048        327.848         71.200        600.000        146.294        19364.7          8.000
     19/09/2008        160.000        202.393       1011.967        340.767         71.200        600.000        141.270        20232.8          8.000
     24/09/2009        160.000        212.207       1061.034        389.834         71.200        600.000        152.378        22586.1          8.000
