ApsimVersion = 7.10 r4171
Title = 4_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     17/09/1999          0.000        146.188        730.941        130.941          0.000        600.000         94.583        16214.6          8.000
     18/09/2000          0.000        118.107        590.535         -9.465          0.000        600.000         62.068        13317.8          8.000
     14/09/2001          0.000         72.727        363.634       -236.366          0.000        600.000         55.683         9887.0          8.000
     13/09/2002          0.000         98.066        490.328       -109.672          0.000        600.000         63.959        12007.2          8.000
     18/09/2003          0.000        108.406        542.029        -57.971          0.000        600.000         57.608        12673.5          8.000
     30/09/2004          0.000         76.422        382.111       -217.889          0.000        600.000         53.452        10357.2          8.000
     13/09/2005          0.000         98.666        493.331       -106.669          0.000        600.000         65.783        11892.3          8.000
     17/09/2006          0.000        112.193        560.966        -39.034          0.000        600.000         76.222        13173.6          8.000
     10/09/2007          0.000         89.724        448.619       -151.381          0.000        600.000         58.790        11049.6          8.000
     28/09/2008          0.000         99.577        497.887       -102.113          0.000        600.000         66.416        10676.0          8.000
     11/10/2009          0.000        126.413        632.063         32.063          0.000        600.000         73.312        14413.5          8.000
