ApsimVersion = 7.10 r4171
Title = 26_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     12/10/1999         80.000        184.017        920.085        284.485         35.600        600.000        120.842        18464.4          8.000
     08/10/2000         80.000        120.330        601.649        -33.951         35.600        600.000         65.648        14677.2          8.000
     12/10/2001         80.000        110.543        552.714        -82.886         35.600        600.000         60.111        12855.7          8.000
     30/09/2002         80.000        141.892        709.460         73.860         35.600        600.000         79.026        15117.9          8.000
     02/10/2003         80.000        133.605        668.024         32.424         35.600        600.000         75.097        15891.7          8.000
     18/10/2004         80.000        140.211        701.055         65.455         35.600        600.000         76.616        16041.5          8.000
     29/09/2005         80.000        158.694        793.468        157.868         35.600        600.000         90.318        16536.6          8.000
     05/10/2006         80.000        165.704        828.522        192.922         35.600        600.000        109.183        17292.9          8.000
     02/10/2007         80.000        145.003        725.014         89.414         35.600        600.000         87.426        16422.3          8.000
     19/10/2008         80.000        147.024        735.121         99.521         35.600        600.000         78.587        15873.4          8.000
     11/10/2009         80.000        145.778        728.888         93.288         35.600        600.000         87.486        18786.9          8.000
