ApsimVersion = 7.10 r4171
Title = 14_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     29/09/1999         40.000        143.954        719.770        101.970         17.800        600.000         73.653        15482.8          8.000
     05/10/2000         40.000         50.634        253.172       -364.628         17.800        600.000         40.320         8767.4          8.000
     02/10/2001         40.000         40.973        204.867       -412.933         17.800        600.000         41.139         8456.4          8.000
     23/09/2002         40.000         61.610        308.048       -309.752         17.800        600.000         43.539         8494.0          8.000
     02/10/2003         40.000         94.213        471.064       -146.736         17.800        600.000         50.201        11556.3          8.000
     18/10/2004         40.000         87.221        436.103       -181.697         17.800        600.000         55.009        11721.8          8.000
     22/09/2005         40.000         86.972        434.861       -182.939         17.800        600.000         56.039        10352.0          8.000
     27/09/2006         40.000        123.263        616.316         -1.484         17.800        600.000         76.905        13924.5          8.000
     26/09/2007         40.000         80.527        402.634       -215.166         17.800        600.000         54.840        11082.9          8.000
     09/10/2008         40.000         91.071        455.354       -162.446         17.800        600.000         57.171        10929.4          8.000
     11/10/2009         40.000        106.219        531.094        -86.706         17.800        600.000         63.854        13499.1          8.000
