ApsimVersion = 7.10 r4171
Title = 47_Clyde_84
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     18/09/1999        200.000        209.783       1048.914        359.914         89.000        600.000        195.095        22644.8          8.000
     23/09/2000        200.000        205.661       1028.305        339.305         89.000        600.000        138.535        19750.5          8.000
     20/09/2001        200.000        173.662        868.310        179.310         89.000        600.000        147.533        18286.2          8.000
     12/09/2002        200.000        200.033       1000.166        311.166         89.000        600.000        178.273        19870.2          8.000
     19/09/2003        200.000        181.657        908.286        219.286         89.000        600.000        148.370        17864.8          8.000
     03/10/2004        200.000        205.623       1028.117        339.117         89.000        600.000        172.036        23748.6          8.000
     13/09/2005        200.000        208.950       1044.748        355.748         89.000        600.000        160.945        20208.1          8.000
     15/09/2006        200.000        201.906       1009.530        320.530         89.000        600.000        188.633        20914.9          8.000
     17/09/2007        200.000        200.469       1002.343        313.343         89.000        600.000        176.676        20629.4          8.000
     28/09/2008        200.000        205.086       1025.430        336.430         89.000        600.000        160.198        20744.1          8.000
     11/10/2009        200.000        203.559       1017.793        328.793         89.000        600.000        172.024        23062.8          8.000
