ApsimVersion = 7.10 r4171
Title = 23_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     29/09/1999         80.000        183.892        919.459        283.859         35.600        600.000        119.382        18129.1          8.000
     05/10/2000         80.000        129.572        647.862         12.262         35.600        600.000         66.743        15070.3          8.000
     02/10/2001         80.000        113.291        566.453        -69.147         35.600        600.000         60.247        12767.2          8.000
     22/09/2002         80.000        146.238        731.187         95.587         35.600        600.000         80.877        15036.8          8.000
     02/10/2003         80.000        142.467        712.337         76.737         35.600        600.000         77.606        16015.6          8.000
     18/10/2004         80.000        149.112        745.558        109.958         35.600        600.000         76.119        16245.5          8.000
     22/09/2005         80.000        159.648        798.242        162.642         35.600        600.000         89.715        16438.0          8.000
     27/09/2006         80.000        163.210        816.049        180.449         35.600        600.000        108.250        16790.3          8.000
     26/09/2007         80.000        145.994        729.968         94.368         35.600        600.000         87.821        16254.7          8.000
     09/10/2008         80.000        150.902        754.510        118.910         35.600        600.000         79.748        15982.2          8.000
     11/10/2009         80.000        167.128        835.642        200.042         35.600        600.000         88.510        18745.8          8.000
