ApsimVersion = 7.10 r4171
Title = 15_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/10/1999         40.000        183.516        917.581        299.781         17.800        600.000        104.000        16743.3          8.000
     08/10/2000         40.000         91.195        455.974       -161.826         17.800        600.000         58.657        11859.4          8.000
     17/10/2001         40.000         87.011        435.057       -182.743         17.800        600.000         51.961         9628.2          8.000
     06/10/2002         40.000        141.403        707.017         89.217         17.800        600.000         77.678        14211.0          8.000
     02/10/2003         40.000         99.791        498.953       -118.847         17.800        600.000         54.329        12530.5          8.000
     18/10/2004         40.000         90.154        450.768       -167.032         17.800        600.000         66.610        12613.8          8.000
     05/10/2005         40.000        114.442        572.209        -45.591         17.800        600.000         69.679        12453.6          8.000
     12/10/2006         40.000        156.397        781.985        164.185         17.800        600.000         92.384        15390.3          8.000
     09/10/2007         40.000        103.178        515.889       -101.911         17.800        600.000         67.492        12573.7          8.000
     29/10/2008         40.000        111.639        558.196        -59.604         17.800        600.000         66.670        11854.2          8.000
     11/10/2009         40.000         91.983        459.913       -157.887         17.800        600.000         76.589        16125.4          8.000
