ApsimVersion = 7.10 r4171
Title = 7_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     24/09/1999          0.000         99.721        498.605       -101.395          0.000        600.000         65.506        12720.9          8.000
     25/09/2000          0.000         64.789        323.945       -276.055          0.000        600.000         44.486         8979.5          8.000
     22/09/2001          0.000         43.539        217.693       -382.307          0.000        600.000         44.093         7793.5          8.000
     20/09/2002          0.000         65.523        327.613       -272.387          0.000        600.000         46.689         8756.5          8.000
     27/09/2003          0.000         55.111        275.556       -324.444          0.000        600.000         43.335         9098.4          8.000
     11/10/2004          0.000         29.904        149.522       -450.478          0.000        600.000         39.136         7980.4          8.000
     20/09/2005          0.000         55.136        275.681       -324.319          0.000        600.000         42.703         7828.4          8.000
     26/09/2006          0.000         74.115        370.576       -229.424          0.000        600.000         52.085         9376.1          8.000
     20/09/2007          0.000         64.222        321.109       -278.891          0.000        600.000         47.255         8496.8          8.000
     08/10/2008          0.000         70.676        353.379       -246.621          0.000        600.000         53.693         9030.0          8.000
     11/10/2009          0.000         68.820        344.102       -255.898          0.000        600.000         54.294        10356.6          8.000
