ApsimVersion = 7.10 r4171
Title = 35_Readlyn_399
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     12/10/1999        120.000        200.620       1003.102        349.702         53.400        600.000        150.376        20325.7          8.000
     08/10/2000        120.000        160.481        802.406        149.006         53.400        600.000         84.278        17760.0          8.000
     12/10/2001        120.000        142.669        713.345         59.945         53.400        600.000         77.269        15096.2          8.000
     30/09/2002        120.000        170.951        854.756        201.356         53.400        600.000        110.227        16833.5          8.000
     02/10/2003        120.000        144.888        724.440         71.040         53.400        600.000        105.805        16719.2          8.000
     18/10/2004        120.000        186.342        931.712        278.312         53.400        600.000        104.919        20497.0          8.000
     29/09/2005        120.000        185.745        928.723        275.323         53.400        600.000        113.655        18496.5          8.000
     05/10/2006        120.000        191.949        959.747        306.347         53.400        600.000        140.355        18873.3          8.000
     02/10/2007        120.000        168.220        841.102        187.702         53.400        600.000        119.123        17834.3          8.000
     19/10/2008        120.000        188.937        944.685        291.285         53.400        600.000        104.039        18963.9          8.000
     11/10/2009        120.000        155.062        775.308        121.908         53.400        600.000        110.717        20872.2          8.000
