ApsimVersion = 7.10 r4171
Title = 35_Kenyon_83B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     12/10/1999        120.000        191.611        958.055        304.655         53.400        600.000        127.685        18949.8          8.000
     08/10/2000        120.000        141.230        706.149         52.749         53.400        600.000         70.210        16390.3          8.000
     12/10/2001        120.000        133.349        666.743         13.343         53.400        600.000         66.978        14635.9          8.000
     30/09/2002        120.000        156.519        782.593        129.193         53.400        600.000         85.003        16228.6          8.000
     02/10/2003        120.000        149.199        745.995         92.595         53.400        600.000         88.695        16892.6          8.000
     18/10/2004        120.000        179.762        898.808        245.408         53.400        600.000         91.976        19423.4          8.000
     29/09/2005        120.000        180.812        904.061        250.661         53.400        600.000        101.751        18190.0          8.000
     05/10/2006        120.000        181.153        905.764        252.364         53.400        600.000        127.313        18238.1          8.000
     02/10/2007        120.000        161.967        809.837        156.437         53.400        600.000        108.959        17693.1          8.000
     19/10/2008        120.000        186.671        933.355        279.955         53.400        600.000         95.099        18803.4          8.000
     11/10/2009        120.000        155.284        776.420        123.020         53.400        600.000        101.058        20701.7          8.000
