ApsimVersion = 7.10 r4171
Title = 65_Floyd_198B
           Date   fert_applied      corn_buac   GrossReturns      NetReturn          Ncost      FixedCost   Nupt_biomass        biomass         plants
   (dd/mm/yyyy)             ()             ()             ()             ()             ()             ()             ()        (kg/ha)    (plants/m2)
     18/09/1999        280.000        210.275       1051.374        326.774        124.600        600.000        200.898        22859.7          8.000
     23/09/2000        280.000        214.224       1071.120        346.520        124.600        600.000        162.502        21611.0          8.000
     20/09/2001        280.000        176.540        882.698        158.098        124.600        600.000        160.120        19142.7          8.000
     12/09/2002        280.000        201.655       1008.273        283.673        124.600        600.000        192.417        20243.4          8.000
     19/09/2003        280.000        175.834        879.168        154.568        124.600        600.000        175.305        17527.8          8.000
     03/10/2004        280.000        209.704       1048.520        323.920        124.600        600.000        211.497        25346.7          8.000
     13/09/2005        280.000        209.413       1047.065        322.465        124.600        600.000        193.676        22120.0          8.000
     15/09/2006        280.000        202.404       1012.019        287.419        124.600        600.000        197.346        21262.3          8.000
     17/09/2007        280.000        201.253       1006.266        281.666        124.600        600.000        190.057        21354.3          8.000
     28/09/2008        280.000        207.097       1035.484        310.884        124.600        600.000        181.378        21494.6          8.000
     11/10/2009        280.000        203.861       1019.304        294.704        124.600        600.000        200.031        23699.7          8.000
